TSIndex,Month,Day,Hour,DayIndex,RepDayInYear,RepHoursInDay,RepHoursInYear
1,[12][1][2],Weekday,[0][1][2],1,90,3,270
2,[12][1][2],Weekday,[3][4][5],1,90,3,270
3,[12][1][2],Weekday,[6][7][8],1,90,3,270
4,[12][1][2],Weekday,[9][10][11],1,90,3,270
5,[12][1][2],Weekday,[12][13][14],1,90,3,270
6,[12][1][2],Weekday,[15][16][17],1,90,3,270
7,[12][1][2],Weekday,[18][19][20],1,90,3,270
8,[12][1][2],Weekday,[21][22][23],1,90,3,270
9,[3][4][5],Weekday,[0][1][2],2,92,3,276
10,[3][4][5],Weekday,[3][4][5],2,92,3,276
11,[3][4][5],Weekday,[6][7][8],2,92,3,276
12,[3][4][5],Weekday,[9][10][11],2,92,3,276
13,[3][4][5],Weekday,[12][13][14],2,92,3,276
14,[3][4][5],Weekday,[15][16][17],2,92,3,276
15,[3][4][5],Weekday,[18][19][20],2,92,3,276
16,[3][4][5],Weekday,[21][22][23],2,92,3,276
17,[6][7][8],Weekday,[0][1][2],3,92,3,276
18,[6][7][8],Weekday,[3][4][5],3,92,3,276
19,[6][7][8],Weekday,[6][7][8],3,92,3,276
20,[6][7][8],Weekday,[9][10][11],3,92,3,276
21,[6][7][8],Weekday,[12][13][14],3,92,3,276
22,[6][7][8],Weekday,[15][16][17],3,92,3,276
23,[6][7][8],Weekday,[18][19][20],3,92,3,276
24,[6][7][8],Weekday,[21][22][23],3,92,3,276
25,[9][10][11],Weekday,[0][1][2],4,91,3,273
26,[9][10][11],Weekday,[3][4][5],4,91,3,273
27,[9][10][11],Weekday,[6][7][8],4,91,3,273
28,[9][10][11],Weekday,[9][10][11],4,91,3,273
29,[9][10][11],Weekday,[12][13][14],4,91,3,273
30,[9][10][11],Weekday,[15][16][17],4,91,3,273
31,[9][10][11],Weekday,[18][19][20],4,91,3,273
32,[9][10][11],Weekday,[21][22][23],4,91,3,273
