ProcessName,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
COA_SUB,0,0,0,0,0,0,0,0,561.6,0,1204.9,650.6,0,0,0
COA_SC,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0
COA_USC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COA_IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_OCGT,0,0,0,0,0,0,0,0,0,0,973,608.9,824.9,0,0
GAS_CCGT,0,0,0,0,0,0,0,0,2073,0,0,0,490,0,0
OIL_ST,0,0,0,0,0,0,0,0,0,0,283.7,0,0,0,0
NUK_LWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_LG,0,0,0,0,0,0,0,1000,180,0,500,0,0,0,0
HYD_SM,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
HYD_PS,0,0,0,0,0,0,0,0,0,1000,1600,0,0,0,0
WND_ON,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0
WND_OFF_SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_FT,0,0,0,0,0,0,0,0,0,0,0,0,0,178.1,0
PV_Dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP_ST6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO_hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_ST,0,0,0,0,0,0,0,0,0,0,0,0,87.1,0,0
