Country/District code,type,Zone,Flow,2015_conn,interconnection,distance,2015_base
GBR,terrestrial,GBR.NI,IRL.East,1,1,254.8,163.9
GBR,terrestrial,GBR.NI,IRL.West,1,1,358.6,0
GBR,terrestrial,GBR.NI,GBR.Scotland,1,0,504.9,0
GBR,terrestrial,GBR.Scotland,GBR.UKC,1,0,434.5,278.2
GBR,terrestrial,GBR.Scotland,GBR.UKD,1,0,557.2,1429.1
GBR,terrestrial,GBR.Scotland,GBR.NI,1,0,504.9,160.8
GBR,terrestrial,GBR.Scotland,GBR.Wales,1,0,853,0
GBR,terrestrial,GBR.UKC,GBR.UKE,1,0,213.7,0
GBR,terrestrial,GBR.UKC,GBR.UKD,1,0,205.3,0
GBR,terrestrial,GBR.UKC,GBR.Scotland,1,0,434.5,0
GBR,terrestrial,GBR.UKD,GBR.UKC,1,0,205.3,0
GBR,terrestrial,GBR.UKD,GBR.Wales,1,0,340.8,0
GBR,terrestrial,GBR.UKD,GBR.UKE,1,0,165.7,0
GBR,terrestrial,GBR.UKD,GBR.UKF,1,0,300.8,0
GBR,terrestrial,GBR.UKD,GBR.Scotland,1,0,557.2,0
GBR,terrestrial,GBR.UKD,GBR.UKG,1,0,298,485.6
GBR,terrestrial,GBR.UKE,GBR.UKC,1,0,213.7,0
GBR,terrestrial,GBR.UKE,GBR.UKF,1,0,199.9,0
GBR,terrestrial,GBR.UKE,GBR.UKD,1,0,165.7,0
GBR,terrestrial,GBR.UKF,GBR.UKH,1,0,194.8,0
GBR,terrestrial,GBR.UKF,GBR.UKE,1,0,199.9,0
GBR,terrestrial,GBR.UKF,GBR.UKJ,1,0,301.8,0
GBR,terrestrial,GBR.UKF,GBR.UKD,1,0,300.8,0
GBR,terrestrial,GBR.UKF,GBR.UKG,1,0,183.5,2009.6
GBR,terrestrial,GBR.UKG,GBR.Wales,1,0,168.7,0
GBR,terrestrial,GBR.UKG,GBR.UKF,1,0,183.5,0
GBR,terrestrial,GBR.UKG,GBR.UKK,1,0,282.6,0
GBR,terrestrial,GBR.UKG,GBR.UKJ,1,0,290.9,0
GBR,terrestrial,GBR.UKG,GBR.UKD,1,0,298,0
GBR,terrestrial,GBR.UKH,GBR.UKI,1,0,153.3,1452.8
GBR,terrestrial,GBR.UKH,GBR.UKF,1,0,194.8,0
GBR,terrestrial,GBR.UKH,GBR.UKJ,1,0,211.8,0
GBR,terrestrial,GBR.UKI,GBR.UKH,1,0,153.3,0
GBR,terrestrial,GBR.UKI,GBR.UKJ,1,0,61.9,0
GBR,terrestrial,GBR.UKJ,GBR.UKH,1,0,211.8,0
GBR,terrestrial,GBR.UKJ,GBR.UKI,1,0,61.9,1602.6
GBR,terrestrial,GBR.UKJ,GBR.UKF,1,0,301.8,0
GBR,terrestrial,GBR.UKJ,GBR.UKK,1,0,292.8,0
GBR,terrestrial,GBR.UKJ,GBR.UKG,1,0,290.9,0
GBR,terrestrial,GBR.UKJ,FRA.Hauts,1,1,433.4,0
GBR,terrestrial,GBR.UKJ,NLD.West,1,1,583.6,0
GBR,terrestrial,GBR.UKK,GBR.Wales,1,0,249.3,0
GBR,terrestrial,GBR.UKK,GBR.UKJ,1,0,292.8,0
GBR,terrestrial,GBR.UKK,GBR.UKG,1,0,282.6,0
GBR,terrestrial,GBR.Wales,GBR.UKK,1,0,249.3,0
GBR,terrestrial,GBR.Wales,GBR.UKD,1,0,340.8,0
GBR,terrestrial,GBR.Wales,GBR.UKG,1,0,168.7,236.7
GBR,terrestrial,GBR.Wales,GBR.Scotland,1,0,853,0
GBR,terrestrial,GBR.Wales,IRL.East,1,1,398.9,0
TWN,terrestrial,TWN.Central,TWN.South,1,0,129,0
TWN,terrestrial,TWN.Central,TWN.North,1,0,113.5,1298.7
TWN,terrestrial,TWN.Central,TWN.East,1,0,73.6,135.1
TWN,terrestrial,TWN.East,TWN.South,1,0,110.5,0
TWN,terrestrial,TWN.East,TWN.Central,1,0,73.6,0
TWN,terrestrial,TWN.East,TWN.North,1,0,155.5,0
TWN,terrestrial,TWN.North,TWN.Central,1,0,113.5,0
TWN,terrestrial,TWN.North,TWN.East,1,0,155.5,0
TWN,terrestrial,TWN.South,TWN.Central,1,0,129,0
TWN,terrestrial,TWN.South,TWN.East,1,0,110.5,706.4
