Country,type,Zone,Flow,2015_conn,distance,2015_base
GBR,offshore,GBR.OffRgn1,GBR.UKD,1,48,742.9
GBR,offshore,GBR.OffRgn2,GBR.Scotland,1,325,36.4
GBR,offshore,GBR.OffRgn3,GBR.NI,1,251.8,125.1
GBR,offshore,GBR.OffRgn3,GBR.Scotland,1,152.1,65
GBR,offshore,GBR.OffRgn4,GBR.Wales,1,190,0
GBR,offshore,GBR.OffRgn4,GBR.UKK,1,150.9,455.8
GBR,offshore,GBR.OffRgn5,GBR.UKH,1,138.2,145.2
GBR,offshore,GBR.OffRgn5,GBR.UKJ,1,61.4,255.9
GBR,offshore,GBR.OffRgn6,GBR.UKH,1,105,1014.1
GBR,offshore,GBR.OffRgn7,GBR.UKE,1,171,988.7
GBR,offshore,GBR.OffRgn7,GBR.UKF,1,217.4,0
GBR,offshore,GBR.OffRgn8,GBR.UKC,1,186.8,0
TWN,offshore,TWN.OffRgn1,TWN.North,1,58.8,100
TWN,offshore,TWN.OffRgn2,TWN.Central,1,46.9,0
TWN,offshore,TWN.OffRgn3,TWN.East,1,27.5,0
TWN,offshore,TWN.OffRgn4,TWN.South,1,61,0
