Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,3736,4189,4784,0,0,0,0,0
Electricity Supply,GWh,3551,3781,5155,0,0,0,0,0
Electricity Spilled,GWh,0,0,0,0,0,0,0,0
Electricity Import,GWh,1602,1047,920,0,0,0,0,0
Electricity Export,GWh,1403,622,1279,0,0,0,0,0
Renewable Gen. to Demand,%,35.7,39.9,44.8,0,0,0,0,0
Carbon Emission,K.Tonnes,1932,1781,2400,0,0,0,0,0
Carbon Sequestration,K.Tonnes,0,0,0,0,0,0,0,0
Annual Variable Cost,M.USD,252,370,618,0,0,0,0,0
Annual Fixed Cost,M.USD,142,124,134,0,0,0,0,0
Fuel Consumption Coal,TJ,2471,4153,4153,0,0,0,0,0
Fuel Consumption Gas,TJ,2538,4278,9386,0,0,0,0,0
Fuel Consumption Oil,TJ,21221,15656,20182,0,0,0,0,0
Fuel Consumption Uranium,TJ,0,0,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,3324,7472,13146,0,0,0,0,0
Capacity - Coal,MW,56,56,56,56,56,56,0,0
Capacity - Coal CCS,MW,0,0,0,0,0,0,0,0
Capacity - Gas,MW,65,65,126,126,126,126,126,126
Capacity - Gas CCS,MW,0,0,0,0,0,0,0,0
Capacity - Oil,MW,720,523,523,299,299,0,0,0
Capacity - Nuclear,MW,0,0,0,0,0,0,0,0
Capacity - Biomass,MW,134,134,197,197,138,138,63,63
Capacity - BECCS,MW,0,0,0,0,0,0,0,0
Capacity - Pump Hydro Storage,MW,0,0,0,0,0,0,0,0
Capacity - Battery Storage,MW,0,0,63,63,63,0,0,0
Capacity - Hydropower,MW,50,50,50,50,50,50,50,50
Capacity - Wind,MW,186,186,186,186,117,0,0,0
Capacity - Offshore Wind,MW,0,0,0,0,0,0,0,0
Capacity - PV,MW,10,10,10,10,10,0,0,0
Capacity - Other Renewables,MW,0,0,0,0,0,0,0,0
Generation - Coal,GWh,246,414,414,0,0,0,0,0
Generation - Coal CCS,GWh,0,0,0,0,0,0,0,0
Generation - Gas,GWh,243,409,946,0,0,0,0,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,0,0
Generation - Oil,GWh,1729,1284,1653,0,0,0,0,0
Generation - Nuclear,GWh,0,0,0,0,0,0,0,0
Generation - Biomass,GWh,274,615,1084,0,0,0,0,0
Generation - BECCS,GWh,0,0,0,0,0,0,0,0
Generation - Hydropower,GWh,160,160,160,0,0,0,0,0
Generation - Wind,GWh,880,880,880,0,0,0,0,0
Generation - Offshore Wind,GWh,0,0,0,0,0,0,0,0
Generation - PV,GWh,18,18,18,0,0,0,0,0
Generation - Other Renewables,GWh,0,0,0,0,0,0,0,0
